"NAME","COLLAPSED_COUNT"
"Nicole",591916
"Tiffany",337228
"Amanda",777639
"Leah",241640
"Rene",63105
"Danielle",369481
"Samantha",586794
"Ginger",41829
"Tara",173197
"Cassandra",167706
"Lara",25780
"Shawna",43025
"Amber",370700
"Darcy",19099
"Kendra",95574
"Kristie",35770
"Traci",50111
"Alicia",226299
"Erika",123040
"Adrienne",63268
"Stacie",36488
"Trina",29045
"Alisa",31460
"Bridget",87117
"Joanna",105092
"Leigh",38336
"Sonja",35150
"Tonia",19072
"Yolanda",108814
"Bobbi",20104
"Dena",26553
"Katrina",98269
"Bobbie",98975
"Cara",48740
"Kellie",48428
"Krista",71204
"Meredith",73258
"Rachael",77364
"Tracie",30128
"Desiree",80494
"Gretchen",47947
"Kerri",34402
"Kristy",67992
"Misty",82239
"Terra",11833
"Tricia",37225
"Erica",229428
"Alison",113072
"Natasha",94972
"Aimee",50328
"Jolene",30855
"Shanna",25490
"Brandy",104898
"Brandi",99984
"Rena",28455
"Alexandra",240196
"Autumn",138456
"Gwen",26394
"Jodie",24400
"Shana",26952
"Charity",29946
"Jenifer",22150
"Megan",437965
"Christie",42351
"Lynette",38977
"Shauna",25043
"Angie",58396
"Olivia",532937
"Courtney",274088
"Mandy",36992
"Naomi",173190
"Rebekah",71803
"Trisha",37138
"Jaime",114367
"Lindsay",129319
"Ashley",865893
"Tania",25060
"Alyssa",311879
"Felicia",86934
"Tasha",33272
"Whitney",97575
"Summer",85728
"Candice",65048
"Farrah",9222
"Tabitha",56228
"Bethany",97829
"Helena",29968
"Keri",29283
"Serena",40266
"Amie",17013
"Angel",350101
"Elisabeth",40599
"Marisa",45756
"Rachelle",30069
"Sasha",35817
"Brooke",195125
"Meghan",94546
"Lindsey",158626
"Jaclyn",46282
"Mariah",110624
"Aubrey",152429
"Alexis",405297
"Casey",186576
"Jasmine",254762
"Jayme",11293
"Marissa",118441
"Meagan",39733
"Monique",75843
"Sondra",23849
"Tessa",51503
"Tia",30761
"Abigail",399581
"Brianne",18371
"Krystal",72340
"Aurora",80905
"Chelsea",160662
"Janelle",52166
"Kate",72281
"Mindy",39726
"Miranda",111692
"Morgan",258894
"Nichole",61721
"Cassie",39949
"Hilary",21138
"Marcie",11604
"Alisha",54540
"Brook",8156
"Camille",68424
"Eliza",53569
"Briana",94339
"Brianna",260905
"Lacy",19825
"Willow",53064
"Brittany",359037
"Lauren",474305
"Claire",198937
"Cristina",48748
"Latoya",43975
"Caitlin",110383
"Chandra",14624
"Gabrielle",134953
"Kelsey",149979
"Sophia",403759
"Tatiana",32476
"Alaina",45570
"Alissa",35734
"Maya",113870
"Ryan",979657
"Lacey",51012
"Jillian",81271
"Sheena",19528
"Audra",20583
"Chrystal",11882
"Genevieve",107903
"Breanna",80841
"Carly",64471
"Elisha",20885
"Faith",140878
"Jocelyn",107747
"Kasey",39579
"Nikki",36400
"Rochelle",42859
"Talia",29641
"Kayla",342931
"Stefanie",34161
"Abby",57814
"Katy",15338
"Larissa",20106
"Brittney",80573
"Richelle",5256
"Ashlee",41761
"Brenna",26171
"Cori",8506
"Jenna",145653
"Chelsey",29643
"Haley",157133
"Hillary",26013
"Hollie",14205
"Justina",7413
"Kira",36911
"Savannah",183842
"Alana",60837
"Athena",43757
"Elise",66613
"Janell",11456
"Adrianne",9295
"Alexandria",100516
"Ana",105071
"Celeste",56650
"Chanel",15931
"Chelsie",11817
"Iris",89538
"Jesse",418444
"Mackenzie",143043
"Randi",25792
"Rhiannon",12591
"Tabatha",17363
"Katelyn",132716
"Sierra",98182
"Ariel",92793
"Cherilyn",628
"Jordan",524864
"Krystle",12003
"Mara",18823
"Ashleigh",29886
"Breanne",8172
"Dominique",68759
"Krysta",4269
"Mallory",55687
"Raquel",46994
"Savanna",31016
"Susanna",12622
"Kaitlin",55944
"Kayleigh",32588
"Anastasia",48993
"Brandie",13665
"Casandra",12486
"Hailey",175337
"Katharine",32071
"Sydney",176021
"Allyson",50358
"Callie",57356
"Carissa",25715
"Christa",29286
"Hayley",48788
"Jade",98518
"Justine",33449
"Madeline",191147
"Ashlea",1540
"Ciara",32768
"Greta",20990
"Jena",9497
"Kaitlyn",165141
"Chantel",12170
"Shaina",9753
"Kyla",40061
"Madison",413142
"Taylor",435567
"Angelica",89607
"Isabel",119694
"Paige",142898
"Kylie",117728
"Michaela",49796
"Ashton",99990
"Mercedes",40481
"Alina",38454
"Arianna",99987
"Caitlyn",51161
"Chloe",236985
"Kaylee",136926
"Moriah",10359
"Trista",9801
"Shelby",156928
"Hanna",37004
"Alexa",128646
"Ariana",114179
"Bailey",124526
"Britney",33449
"Clarissa",34458
"Destiny",149233
"Kassandra",30304
"Kylee",48175
"Sadie",118305
"Zoe",146814
"Bianca",73779
"Alysha",7057
"Cheyenne",68790
"Kiana",23955
"Ayla",30055
"Brittni",4814
"Desirae",10329
"Kiersten",12283
"Leanne",25478
"Marina",33735
"Meranda",1168
"Noelle",38498
"Shayna",13446
"Tess",10954
"Tyler",612579
"Raven",42518
"Tiana",26543
"Karina",58162
"Denali",474
"Devon",86201
"Jordyn",63512
"Karissa",17411
"Karlie",9205
"Mckenzie",62782
"Dakota",127851
"Gabriella",130514
"Makayla",106014
"Shayla",28503
"Haylee",28314
"Kyra",34753
"Micaela",11574
