"JS_KEY","NAME_REGIONALITY"
"us-ak",148.687313763827
"us-al",199.602495109366
"us-ar",160.871196049716
"us-az",57.5061746590334
"us-ca",39.3466528359669
"us-co",115.778084151638
"us-ct",93.7722876837271
"us-dc",118.889905292351
"us-de",68.8251205026789
"us-fl",65.2384362789519
"us-ga",120.722711661938
"us-hi",87.4860449257431
"us-ia",172.723079112718
"us-id",159.059598820589
"us-il",101.370537699192
"us-in",141.309900327523
"us-ks",145.70974473192
"us-ky",139.346357229976
"us-la",152.061730322775
"us-ma",115.736135327727
"us-md",94.0717112004438
"us-me",199.637108899062
"us-mi",111.037665366656
"us-mn",187.83871724526
"us-mo",140.489297219447
"us-ms",191.260594717808
"us-mt",150.087006066607
"us-nc",123.749974832982
"us-nd",246.642396200472
"us-ne",164.884316523878
"us-nh",149.333322399779
"us-nj",69.979640947943
"us-nm",57.1663376724285
"us-nv",58.2468983715973
"us-ny",80.1798545011236
"us-oh",139.702660196463
"us-ok",92.5602638394915
"us-or",113.981126121497
"us-pa",124.949280912594
"us-ri",79.0612336687497
"us-sc",149.225041190751
"us-sd",221.24975473744
"us-tn",169.943901457683
"us-tx",68.9630433607747
"us-ut",116.300432775179
"us-va",116.34921118836
"us-vt",249.080563259475
"us-wa",117.960232325033
"us-wi",134.542920171099
"us-wv",128.918444855179
"us-wy",173.914109877814
