"JS_KEY","NAME_REGIONALITY"
"us-ak",77.7718746168621
"us-al",89.7695022191726
"us-ar",117.741838211502
"us-az",82.6185071383794
"us-ca",89.5614444785589
"us-co",91.1415239910348
"us-ct",93.1209967996226
"us-dc",54.7969584023838
"us-de",90.3513039339629
"us-fl",94.2532736300914
"us-ga",97.3257518538077
"us-hi",73.885176836156
"us-ia",127.41422588613
"us-id",127.653566002546
"us-il",96.6436525628551
"us-in",116.903075674474
"us-ks",121.898985182655
"us-ky",129.123712403935
"us-la",115.347390532662
"us-ma",103.996556413929
"us-md",87.9912569383762
"us-me",165.979919565859
"us-mi",108.357210548978
"us-mn",109.235637717766
"us-mo",113.701438749858
"us-ms",78.2000913063693
"us-mt",149.483104997244
"us-nc",86.9407116355315
"us-nd",146.182888239982
"us-ne",129.841328348508
"us-nh",115.474822390529
"us-nj",89.7336144806374
"us-nm",66.7504394679291
"us-nv",91.9967614169789
"us-ny",86.3566901244311
"us-oh",103.710901503029
"us-ok",126.666384760953
"us-or",113.077806922698
"us-pa",117.169203423845
"us-ri",93.2637170621329
"us-sc",95.5209037659468
"us-sd",147.370336676015
"us-tn",115.447541218829
"us-tx",97.9415191634496
"us-ut",113.068912656918
"us-va",94.078903986529
"us-vt",127.076308336231
"us-wa",115.142880058059
"us-wi",129.161688184793
"us-wv",164.080602213962
"us-wy",94.8597794622572
