"JS_KEY","NAME_REGIONALITY"
"us-ak",106.056774110932
"us-al",85.9830606615336
"us-ar",81.4023824719803
"us-az",86.6820684979513
"us-ca",71.1215313937373
"us-co",130.647821615845
"us-ct",109.088840748318
"us-dc",144.166311326281
"us-de",77.0525995604709
"us-fl",65.0755770361092
"us-ga",104.432656754353
"us-hi",62.980994495231
"us-ia",167.319047949344
"us-id",135.829194351769
"us-il",100.671011762884
"us-in",111.095861264781
"us-ks",124.665407004957
"us-ky",99.2573211105161
"us-la",79.9226475211394
"us-ma",141.964633774399
"us-md",110.86229706854
"us-me",214.368019581647
"us-mi",118.423574925908
"us-mn",221.789941926041
"us-mo",112.338547559094
"us-ms",91.2666822929267
"us-mt",114.339921859259
"us-nc",96.2444503133968
"us-nd",175.027028469866
"us-ne",147.616677940951
"us-nh",172.119253791882
"us-nj",61.7738298186125
"us-nm",81.7628287686379
"us-nv",82.9108331811848
"us-ny",78.0568124686827
"us-oh",117.409282364225
"us-ok",83.4725160640088
"us-or",156.25500981844
"us-pa",111.476679532994
"us-ri",138.266609211289
"us-sc",96.0152970168572
"us-sd",120.750354136005
"us-tn",120.100821824252
"us-tx",64.2221319985644
"us-ut",186.780487709069
"us-va",110.1044639107
"us-vt",159.870238229131
"us-wa",146.539251584702
"us-wi",182.778105866475
"us-wv",74.942326185643
"us-wy",158.815433867032
