"JS_KEY","NAME_REGIONALITY"
"us-ak",92.4398666184491
"us-al",69.7943353781778
"us-ar",125.060181971758
"us-az",82.5017334828713
"us-ca",110.953909939775
"us-co",111.639500701761
"us-ct",110.123214105406
"us-dc",70.1997956830624
"us-de",77.4504053839828
"us-fl",81.4654186218353
"us-ga",68.0772661472752
"us-hi",107.301227506029
"us-ia",119.73452491176
"us-id",115.594202148204
"us-il",98.2026768288235
"us-in",110.71353225863
"us-ks",124.056521680002
"us-ky",131.876908848714
"us-la",73.1784046545186
"us-ma",64.8072043852156
"us-md",89.5132257168302
"us-me",114.143500920237
"us-mi",121.323379971628
"us-mn",121.609154501855
"us-mo",128.416627617942
"us-ms",40.3135013786127
"us-mt",121.673352943843
"us-nc",85.5443603706108
"us-nd",125.935990430502
"us-ne",110.151049731164
"us-nh",105.931383746441
"us-nj",84.1655100701948
"us-nm",80.1415050397083
"us-nv",132.775178341079
"us-ny",87.103152196401
"us-oh",107.776046166876
"us-ok",148.568691732649
"us-or",132.932340669113
"us-pa",87.7940028111654
"us-ri",60.1352845943904
"us-sc",34.6583408398818
"us-sd",127.314157626357
"us-tn",114.649091146239
"us-tx",110.146117752011
"us-ut",114.110579653559
"us-va",90.1491989013193
"us-vt",143.954139915013
"us-wa",110.1861583857
"us-wi",126.588654462461
"us-wv",115.526291582793
"us-wy",122.824094658049
