"JS_KEY","NAME_REGIONALITY"
"us-ak",116.753737052428
"us-al",136.800391243704
"us-ar",134.249084032028
"us-az",79.1088556898204
"us-ca",56.9972226745798
"us-co",96.8503994944344
"us-ct",86.080418137153
"us-dc",53.0215108627234
"us-de",85.5223922416635
"us-fl",79.4309679558166
"us-ga",90.2814595001021
"us-hi",113.241168935684
"us-ia",202.514904879907
"us-id",157.883203414509
"us-il",89.582516226752
"us-in",146.415331818923
"us-ks",164.790028845087
"us-ky",141.623385288623
"us-la",149.889636961011
"us-ma",108.142883541792
"us-md",81.4221913212177
"us-me",201.848818901478
"us-mi",125.92071907387
"us-mn",129.907719611282
"us-mo",161.408325923659
"us-ms",112.340865417834
"us-mt",167.142992992404
"us-nc",112.913467924039
"us-nd",227.740434481256
"us-ne",152.141773389749
"us-nh",160.090598697846
"us-nj",66.0073310761066
"us-nm",65.9050808538287
"us-nv",74.5679635865219
"us-ny",76.3158760720781
"us-oh",146.140732092835
"us-ok",139.590156856173
"us-or",140.857255638054
"us-pa",110.438631888016
"us-ri",93.1550638611601
"us-sc",104.390574887839
"us-sd",160.860548420045
"us-tn",136.184609237122
"us-tx",80.7387301768514
"us-ut",146.25117145912
"us-va",92.7849945239143
"us-vt",215.202941053289
"us-wa",117.714169203236
"us-wi",150.122935901401
"us-wv",166.116889774555
"us-wy",139.339657765165
