"JS_KEY","NAME_REGIONALITY"
"us-ak",73.2952695731889
"us-al",131.922337299052
"us-ar",89.0436967779769
"us-az",52.2660775745529
"us-ca",42.3417787917383
"us-co",84.1957590298559
"us-ct",182.197957225056
"us-dc",169.865983529925
"us-de",166.394146379014
"us-fl",61.0000257281948
"us-ga",150.85869911884
"us-ia",107.827707061261
"us-il",157.728510135614
"us-in",114.452513923892
"us-ks",93.4262909414586
"us-ky",102.586135932821
"us-la",80.2807540284379
"us-ma",135.705693154913
"us-md",150.255302625037
"us-me",231.240423622272
"us-mi",119.417479004147
"us-mn",144.209555494432
"us-mo",166.011393291291
"us-ms",131.192945474011
"us-mt",124.489196321232
"us-nc",140.534032467507
"us-ne",141.853161966647
"us-nh",241.001196849316
"us-nj",102.55318545651
"us-nm",36.0655491773422
"us-nv",32.7402312541738
"us-ny",85.5139989115578
"us-oh",101.496534165538
"us-ok",49.8337798800093
"us-or",86.9655481634677
"us-pa",114.193443196184
"us-ri",89.2694683685709
"us-sc",156.436766035761
"us-tn",121.26823275494
"us-tx",65.2281419737047
"us-ut",52.1134516215928
"us-va",142.042687483839
"us-vt",219.72790149607
"us-wa",105.11513527773
"us-wi",156.12472592727
"us-wv",51.6786499006833
