"JS_KEY","NAME_REGIONALITY"
"us-al",1.17148617756749
"us-ar",0.492544504724508
"us-ca",0.27893335900176
"us-co",1.98640997892578
"us-ct",0.585490068011054
"us-fl",0.658943177151131
"us-ga",0.403990791019459
"us-ia",0.838397633471499
"us-il",0.791340482417817
"us-in",0.56870328983731
"us-ks",0.674426292578317
"us-ky",0.520351105136649
"us-la",1.44543202852009
"us-ma",0.788495700533928
"us-md",1.19210505733931
"us-mi",0.964402383622655
"us-mn",0.755141742605745
"us-mo",0.673686850123204
"us-ms",0.649643752736536
"us-nc",1.12991660219793
"us-nd",3.17622406952262
"us-ne",1.22754068598846
"us-nj",1.5952285956521
"us-ny",1.94668188321157
"us-oh",0.7798637325029
"us-ok",0.542422099215958
"us-pa",1.4119242812186
"us-sc",1.10526328079912
"us-sd",1.90325664624247
"us-tn",0.63906069865458
"us-tx",0.586995126689112
"us-va",0.605744545245898
"us-wi",1.60600105070162
"us-wv",0.508884380030228
