"JS_KEY","NAME_REGIONALITY"
"us-ak",92.6802350538907
"us-al",49.5697836313783
"us-ar",45.1753475011407
"us-az",80.5045836363324
"us-ca",160.280625426629
"us-co",99.856655665123
"us-ct",161.595720793617
"us-dc",171.87518489994
"us-de",97.5731990333191
"us-fl",193.110673748079
"us-ga",109.554849706368
"us-hi",387.857078450617
"us-ia",46.5651370431326
"us-id",52.646099349205
"us-il",122.874344178177
"us-in",54.804356058298
"us-ks",59.4044781724416
"us-ky",33.2682055189673
"us-la",43.1726941091695
"us-ma",157.035784731454
"us-md",84.4799820219075
"us-me",77.3407188136114
"us-mi",74.9475719901877
"us-mn",68.4662021598205
"us-mo",37.212151336953
"us-ms",45.6480288967668
"us-mt",61.1520766430761
"us-nc",77.6953743562831
"us-nd",71.7901354761887
"us-ne",31.02944151592
"us-nh",87.1112009741558
"us-nj",175.965967171813
"us-nm",146.484532585176
"us-nv",121.997947836877
"us-ny",215.544905429672
"us-oh",46.212108270027
"us-ok",26.3677688806186
"us-or",76.9689508747299
"us-pa",81.9704362139375
"us-ri",86.8544251422497
"us-sc",83.9120414723461
"us-tn",29.0059814975409
"us-tx",72.4143052552317
"us-ut",72.9925221714593
"us-va",74.5587803918693
"us-vt",91.3548462721643
"us-wa",76.422995942896
"us-wi",45.7969195387852
