"JS_KEY","NAME_REGIONALITY"
"us-al",1.34365434602554
"us-ca",1.8939028723241
"us-ga",1.03988547460644
"us-ia",1.51123220323225
"us-id",6.34161855962794
"us-il",1.67469663465455
"us-in",1.09669780913846
"us-ks",1.75689731373695
"us-ky",1.96480242214322
"us-la",1.2895366393293
"us-mi",1.06700272511118
"us-mn",2.02154540079195
"us-ms",1.35305935835973
"us-ny",0.822089269208255
"us-oh",1.49412156308131
"us-ok",1.82908328960459
"us-or",4.93068125676684
"us-pa",1.02002004940591
"us-tx",1.07160807062321
"us-ut",8.90189461032389
"us-wa",2.66074591791256
"us-wi",0.850451306017099
"us-wv",1.42457709478543
