"JS_KEY","NAME_REGIONALITY"
"us-al",0.153072547956154
"us-ar",0.363119581095629
"us-az",1.06003002712127
"us-ca",1.85379819315435
"us-co",1.23115401227438
"us-ct",0.917396307439122
"us-dc",1.41567309565556
"us-de",0.504361780923381
"us-fl",0.62461355529132
"us-ga",0.234927079158753
"us-hi",0.48497438027974
"us-ia",1.2949139396563
"us-id",1.58654343999172
"us-il",1.40074691398431
"us-in",1.64256191191771
"us-ks",1.22196223316913
"us-ky",0.417261678861107
"us-la",0.512775459404056
"us-ma",1.10184946727745
"us-md",0.585720861482865
"us-me",1.39637627994513
"us-mi",1.56168750965667
"us-mn",1.59637926543371
"us-mo",1.07648051971885
"us-ms",0.180455127848031
"us-mt",1.40417000801925
"us-nc",0.157275021026072
"us-nd",1.24922711058264
"us-ne",1.42134540853275
"us-nh",1.77238680072879
"us-nj",0.827021734121803
"us-nm",0.484002487734089
"us-nv",1.77586206896552
"us-ny",1.13209791774155
"us-oh",1.44690865696244
"us-ok",1.06093903523137
"us-or",2.42730895858603
"us-pa",0.852279618671405
"us-ri",0.614263504086107
"us-sc",0.133062463112086
"us-sd",1.27033783488484
"us-tn",0.227399765525069
"us-tx",0.54951872025588
"us-ut",0.877769126571883
"us-va",0.180419656552735
"us-vt",1.49919417117147
"us-wa",2.08462165402882
"us-wi",1.5877911346179
"us-wv",0.776341194811139
"us-wy",1.22132612581194
