"JS_KEY","NAME_REGIONALITY"
"us-ak",111.442516609655
"us-al",78.5732537192907
"us-ar",74.8829108955568
"us-az",98.3764786977385
"us-ca",105.873779041426
"us-co",87.8138633358464
"us-ct",124.77171066944
"us-dc",65.2995183931283
"us-de",118.692372505161
"us-fl",103.448105734505
"us-ga",87.0033972806907
"us-hi",149.557449205142
"us-ia",78.358758281684
"us-id",88.6553114875883
"us-il",94.5676238108302
"us-in",91.6588614374107
"us-ks",81.5284276876702
"us-ky",106.912215233462
"us-la",84.5086246645456
"us-ma",116.667207659294
"us-md",104.461657806819
"us-me",91.8383316147039
"us-mi",89.840576808008
"us-mn",83.1823867251942
"us-mo",79.8520423701189
"us-ms",88.3717279242534
"us-mt",94.8652586078767
"us-nc",89.2493167896315
"us-nd",114.086845278976
"us-ne",99.8674787500302
"us-nh",137.433273427029
"us-nj",136.845238186017
"us-nm",121.90958890066
"us-nv",82.1975939516294
"us-ny",125.960095499108
"us-oh",92.5631821956401
"us-ok",82.3603516905595
"us-or",86.7616235633221
"us-pa",115.675379423813
"us-ri",128.52393190027
"us-sc",101.197518815441
"us-sd",99.0858936616515
"us-tn",95.76848048179
"us-tx",93.5410401382602
"us-ut",67.3485880259969
"us-va",93.7531191383178
"us-vt",86.2676391641521
"us-wa",80.9450786537188
"us-wi",85.0485276166826
"us-wv",102.005654417072
"us-wy",99.1160109545577
