"JS_KEY","NAME_REGIONALITY"
"us-ak",74.6525636797908
"us-al",78.534706836716
"us-ar",40.6863108681044
"us-az",82.5340096288784
"us-ca",116.135135138011
"us-co",140.85593602481
"us-ct",180.93375226166
"us-dc",154.637807502888
"us-de",128.631316561518
"us-fl",97.2264746209953
"us-ga",74.7037057629255
"us-hi",214.628075653872
"us-ia",30.7525833320437
"us-id",48.5567932599038
"us-il",97.4969359197435
"us-in",64.8246827192538
"us-ks",50.3306582654795
"us-ky",82.0108882181762
"us-la",110.516638579639
"us-ma",114.070552356079
"us-md",93.2963632211425
"us-me",29.8400955451812
"us-mi",84.8844858987809
"us-mn",43.1700105060077
"us-mo",66.3810615244726
"us-ms",56.4534213893089
"us-mt",60.644639959864
"us-nc",64.1461517511291
"us-nd",52.4319178820729
"us-ne",50.5917552982742
"us-nh",60.3069925145145
"us-nj",182.504251591463
"us-nm",191.111079408761
"us-nv",51.5379486389259
"us-ny",209.881965222654
"us-oh",90.2197869442396
"us-ok",56.9008219323119
"us-or",36.1439243020185
"us-pa",135.852524188345
"us-ri",187.661049371525
"us-sc",77.4081762955969
"us-sd",29.6299058119679
"us-tn",70.0182536990509
"us-tx",65.3171880986386
"us-ut",30.254252805837
"us-va",65.5047261050127
"us-vt",54.6581467935443
"us-wa",42.9631204737397
"us-wi",53.8647880738135
"us-wv",45.8584618649676
"us-wy",36.9350431917152
